a 呀
aware 哀
awaremi 憐
awaremu 哀
awaremu 嗕
awaremu 嘳
awaremu 怜
awaremu 恤
awaremu 愍
awaremu 憐
awaremu 憫
awaremu 矜
awaremu 閔
awase 袷
awase 裌
awasematsuru 祔
awaseru 佮
awaseru 併
awaseru 倂
awaseru 勠
awaseru 合
awaseru 并
awaseru 幷
awasu 醂
awatadashi 慌
awatadashi 遽
awatadashii 偬
awatadashii 汒
awatadashiisama 俇
awateru 劻
awateru 忩
awateru 悤
awateru 慌
awateteyukusama 彸
aya 彣
aya 彧
aya 彪
aya 彰
aya 文
aya 斐
aya 斕
aya 章
aya 紋
aya 絢
aya 綞
aya 綺
aya 綾
aya 繝
aya 黻
aya 黼
ayabumu 危
ayafui 阸
ayafui 陮
ayaginu 綦
ayaginu 綵
ayahui 傒
ayahui 刖
ayahui 噊
ayai 卼
ayakaru 肖
ayamari 誤
ayamaru 悂
ayamaru 悞
ayamaru 愆
ayamaru 訛
ayamaru 詿
ayamaru 誤
ayamaru 謝
ayamaru 謬
ayamaru 譌
ayamaru 騫
ayamatsu 跌
ayamatsu 過
ayashii 奇
ayashii 怪
ayashii 恠
ayashii 異
ayashii 竒
ayashiikotoba 訞
ayashimu 怪
ayashimu 恑
ayatsuru 撡
ayatsuru 操
ayaui 冄
ayaui 危
ayaui 圾
ayaui 殆
ayaui 臲
ayaui 隉
ayu 鮎
ayumi 步
ayumi 歩
ayumu 步
ayumu 歩
aza 字
aza 痣
azakeru 嘲
azakeru 詼
azami 芺
azami 薊
azamuku 侏
azamuku 倛
azamuku 唭
azamuku 欺
azamuku 紿
azamuku 詑
azamuku 詒
azamuku 諆
azamuku 謾
azamuku 迋
azana 妕
azana 妺
azana 姃
azana 姈
azana 姲
azana 婅
azana 婈
azana 媜
azana 嫆
azana 孋
azanau 糺
azanau 糾
azaru 她
azawarau 吲
azayaka 玼
azayaka 璱
azayaka 紑
azayaka 緂
azayaka 鮮
aze 埂
aze 埸
aze 堹
aze 塍
aze 畔
aze 畛
aze 畻
aze 阡
azuchi 埻
azukaru 與
azukaru 闗
azukaru 預
azukeru 預
azuki 荅
azuma 東
azumaya 亭
azusa 梓
ba 場
ba 塲
ba 壇
baba 姏
baba 姥
baba 婆
bachi 枹
bachi 桴
baitara 梖
bakari 可
bakari 許
bakasu 化
bakemono 祙
bakemono 鬽
bakemono 魅
bakeru 化
baku 獏
baku 貘
ban 耼
banmeshi 飧
baryuumu 鋇
be 边
be 辺
be 邉
be 邊
ben 婂
beni 紅
beni 脂
bentou 鑜
bentou 饟
beriryuumu 鋍
beshi 可
betsuni 另
betsuno 另
bin 埕
bin 壜
bin 缾
bin 罎
bin 鬢
binroushi 梹
binroushi 檳
bisumasu 鉍
bita 鐚
bochi 奌
bochi 点
bochi 點
bokashi 暈
boku 濹
bomi 崁
bora 鯔
boro 褸
boro 襤
boronyuumu 釙
botan 釦
botan 鈕
bou 樴
bouhura 虷
bouhura 蜎
boukou 脬
boushi 帽
bouzu 僧
buchi 渊
budou 萄
buna 桕
buna 橅
bunmawashi 規
burachina 鉑
buri 魳
buri 鰤
buta 彘
buta 豘
buta 豚
buto 蟆
buto 蟇
butsubutsuiu 咕
butsukaru 碰
buyo 蚋
buyo 蜹
buyu 蜹
byou 荓
byou 鋲
cha 茗
cha 茶
chi 乳
chi 千
chi 堃
chi 茅
chi 血
chi 衁
chichi 乳
chichi 奶
chichi 父
chichi 爺
chichibu 魦
chichibu 鮻
chichizake 酥
chichizake 酪
chidori 鴴
chidori 鵆
chie 智
chie 譞
chigau 違
chigiru 契
chigiru 期
chigyousho 寀
chihaya 襅
chihisai 偳
chihisai 寠
chihisai 尐
chiisai 佌
chiisai 小
chiisai 幺
chiisai 琑
chiisai 瑣
chiisai 繊
chiisai 纎
chiisai 纖
chijimaru 朘
chijimaru 縮
chijimi 縐
chijimiaya 縬
chijimu 朘
chijimu 緊
chijimu 縬
chijimu 縮
chijimu 遬
chika 邇
chikai 傶
chikai 僟
chikai 儭
chikai 尒
chikai 幾
chikai 庶
chikai 庻
chikai 盟
chikai 誓
chikai 近
chikai 迩
chikai 逕
chikai 邇
chikai 駙
chikamichi 徑
chikara 力
chikara 膂
chikari 劤
chikaru 膐
chikashi 邇
chikau 盟
chikau 矢
chikau 誓
chikayoru 偎
chikazuki 暱
chikazuku 昵
chikazuku 暱
chimaki 粡
chimaki 粽
chimaki 糉
chimata 垙
chimata 壛
chimata 巷
chimata 衖
chimata 閻
chin 狆
chin 猧
chinamu 因
chinba 尯
chinba 跛
chinomigo 孩
chinomigo 孺
chinuru 衅
chinuru 釁
chirakasu 散
chirasu 散
chiri 圿
chiri 坋
chiri 坌
chiri 坢
chiri 坱
chiri 埃
chiri 埲
chiri 堁
chiri 塕
chiri 塵
chiri 塺
chiri 塻
chiribameru 鏤
chirinosama 坺
chirinun 縠
chiriyoke 笭
chiru 散
chiru 渫
chiru 趲
chisa 芑
chisa 苣
chisanakui 栬
chisha 苣
chisuji 胄
chitanyuumu 鈦
chitanyuumu 鐟
chiyorochiyoro 滎
chobo 丶
chobo 奌
chouchou 蝶
choumen 簿
chouna 鐇
chousenninjin 薓
chouzame 鱘
chuu 蛺
dai 丌
dai 垝
dai 棜
dai 榭
dai 爿
dai 鍖
daidai 橙
daikon 菔
daikon 葖
daikon 蔔
dake 丈
daku 抱
damaru 嘿
damaru 默
damaru 黙
damasu 瞞
damasu 騗
dan 壝
dango 糰
dani 蜱
dani 螕
dani 蟎
dare 誰
dasu 㞮
dasu 出
dasu 岀
dausu 打
deau 迕
deau 迦
deau 遌
dekaguramu 瓧
dekameetoru 籵
dekaritto 竍
